course_title,responses,id_recommend_this_course_to_others_numeric_min,id_recommend_this_course_to_others_numeric_max,id_recommend_this_course_to_others_numeric_median,id_recommend_this_course_to_others_numeric_mean,my_instructor_was_an_effective_and_engaging_facilitator_of_learning_numeric_min,my_instructor_was_an_effective_and_engaging_facilitator_of_learning_numeric_max,my_instructor_was_an_effective_and_engaging_facilitator_of_learning_numeric_median,my_instructor_was_an_effective_and_engaging_facilitator_of_learning_numeric_mean,the_course_materials_and_assignments_helped_me_acquire_new_knowledge_and_skills_numeric_min,the_course_materials_and_assignments_helped_me_acquire_new_knowledge_and_skills_numeric_max,the_course_materials_and_assignments_helped_me_acquire_new_knowledge_and_skills_numeric_median,the_course_materials_and_assignments_helped_me_acquire_new_knowledge_and_skills_numeric_mean,taking_this_course_will_improve_my_job_performance_numeric_min,taking_this_course_will_improve_my_job_performance_numeric_max,taking_this_course_will_improve_my_job_performance_numeric_median,taking_this_course_will_improve_my_job_performance_numeric_mean,total_learners,org_vertical,organization,calendar_month,response_pct,level,persona,first_run_section
Advancing Effective Project Management Practices,15,2,5,4,3.8,3,5,4,4,2,5,4,3.4,2,5,4,3.533333333333333,15,Defense & Manufacturing,Organization 2,2025-04,1,Introductory,Data Consumer,1
Advancing Effective Project Management Practices,24,3,5,4,4.083333333333333,3,5,4,4.291666666666667,2,5,4,4.083333333333333,3,5,4,4.041666666666667,26,Legal,Organization 20,2025-10,0.923,Introductory,Data Consumer,1
Advancing Effective Project Management Practices,16,2,5,4.5,4.3125,4,5,5,4.6875,4,5,4,4.4375,3,5,4,4.375,19,Professional Services,Organization 23,2025-01,0.842,Introductory,Data Consumer,1
Building Predictive and Prescriptive AI Data Models,16,4,5,5,4.625,4,5,5,4.75,Inf,#NAME?,NA,NA,Inf,#NAME?,NA,NA,19,Financial Services,Organization 1,2025-07,0.842,Advanced,Data Practitioner,1
Building Predictive and Prescriptive AI Data Models,2,4,5,4.5,4.5,5,5,5,5,3,5,4,4,3,5,4,4,8,Financial Services,Organization 25,2026-02,0.25,Advanced,Data Practitioner,1
Building Predictive and Prescriptive AI Data Models,4,3,5,3.5,3.75,4,5,4.5,4.5,3,5,4.5,4.25,3,5,4,4,8,Financial Services,Organization 25,2026-02,0.5,Advanced,Data Practitioner,1
Communicating Effectively with Data Visualizations,18,2,5,4,3.9444444444444446,3,5,5,4.5,2,5,4,4.222222222222222,1,5,4,3.5,29,Financial Services,Organization 1,2025-10,0.621,Introductory,Data Consumer,0
Communicating Effectively with Data Visualizations,21,1,5,3,3.047619047619047,2,5,4,4.238095238095238,1,5,3,3.238095238095238,1,5,3,2.8095238095238093,25,Financial Services,Organization 1,2025-12,0.84,Introductory,Data Consumer,0
Communicating Effectively with Data Visualizations,4,3,5,4,4,4,5,4.5,4.5,3,5,4,4,4,5,4,4.25,5,Financial Services,Organization 1,2026-02,0.8,Introductory,Data Consumer,0
Communicating Effectively with Data Visualizations,20,1,5,4,3.65,3,5,4,4.25,1,5,4,3.8,1,5,4,3.45,23,Financial Services,Organization 1,2025-04,0.87,Introductory,Data Consumer,1
Communication and Visualization for Data Analytics,11,3,5,5,4.545454545454546,4,5,4,4.363636363636363,4,5,5,4.636363636363637,3,5,5,4.545454545454546,22,Financial Services,Organization 1,2024-03,0.5,Introductory,Data Consumer,1
Cultivating Data Driven Decision-Making,24,3,5,4,4.125,3,5,4,4.375,3,5,4,4.291666666666667,2,5,4,4.208333333333333,25,Legal,Organization 20,2025-11,0.96,Introductory,Leadership,1
Data Ethics,62,1,5,4,3.870967741935484,2,5,4,4.161290322580645,1,5,4,3.9193548387096775,Inf,#NAME?,NA,NA,70,Financial Services,Organization 1,2026-03,0.886,Introductory,Data Consumer,1
Developing an Organizational Data Strategy,7,3,5,5,4.571428571428571,3,5,5,4.714285714285714,3,5,5,4.428571428571429,2,5,4,4.142857142857143,13,Financial Services,Organization 1,2025-05,0.538,Advanced,Leadership,1
Developing an Organizational Data Strategy,4,5,5,5,5,4,5,5,4.75,4,5,4,4.333333333333333,4,4,4,4,10,Financial Services,Organization 1,2025-05,0.4,Advanced,Leadership,1
Empowering Self-Service Data Warehouse Access with SQL,14,3,5,5,4.642857142857143,4,5,5,4.714285714285714,3,5,5,4.571428571428571,2,5,5,4.428571428571429,17,Financial Services,Organization 1,2025-02,0.824,Advanced,Data Practitioner,1
Enhancing Decision Making with Analytics,27,1,5,4,4,3,5,4,4.296296296296297,2,5,4,4,2,5,4,3.592592592592593,27,Financial Services,Organization 1,2026-01,1,Introductory,Leadership,0
Enhancing Decision Making with Analytics,18,1,5,4,3.611111111111111,1,5,4,4.055555555555555,3,5,4,3.888888888888889,3,5,4,3.6666666666666665,20,Financial Services,Organization 1,2025-10,0.9,Introductory,Leadership,0
Enhancing Decision Making with Analytics,22,3,5,4.5,4.318181818181818,3,5,5,4.681818181818182,3,5,4,4.2727272727272725,2,5,4,3.909090909090909,23,Financial Services,Organization 1,2025-10,0.957,Introductory,Leadership,0
Enhancing Decision Making with Analytics,18,2,5,4,3.9444444444444446,3,5,5,4.611111111111111,2,5,4,3.9444444444444446,2,5,4,3.888888888888889,20,Financial Services,Organization 1,2025-10,0.9,Introductory,Leadership,0
Enhancing Decision Making with Analytics,26,3,5,4,4.1923076923076925,3,5,5,4.653846153846154,2,5,4,4.1923076923076925,2,5,4,3.923076923076923,29,Financial Services,Organization 1,2025-11,0.897,Introductory,Leadership,0
Enhancing Decision Making with Analytics,19,3,5,4,4.315789473684211,4,5,5,4.7368421052631575,3,5,4,4.315789473684211,3,5,4,4.105263157894737,20,Financial Services,Organization 1,2025-11,0.95,Introductory,Leadership,0
Enhancing Decision Making with Analytics,11,3,5,4,4.181818181818182,4,5,4,4.363636363636363,4,5,4,4.363636363636363,3,5,4,4,12,Financial Services,Organization 1,2024-12,0.917,Introductory,Leadership,1
Enhancing Decision Making with Analytics,30,3,5,4,3.7666666666666666,3,5,4,4.233333333333333,2,5,4,3.7333333333333334,2,5,3.5,3.533333333333333,34,Financial Services,Organization 1,2026-02,0.882,Introductory,Leadership,0
Enhancing Decision Making with Analytics,38,1,5,4,3.5526315789473686,3,5,4,4.184210526315789,1,5,4,3.6842105263157894,1,5,3.5,3.3684210526315788,44,Financial Services,Organization 1,2026-03,0.864,Introductory,Leadership,0
Enhancing Decision Making with Analytics,23,3,5,4,4.3478260869565215,4,5,5,4.608695652173913,4,5,4,4.434782608695652,3,5,4,4.304347826086956,25,Financial Services,Organization 1,2025-05,0.92,Introductory,Leadership,0
Enhancing Decision Making with Analytics,23,3,5,5,4.478260869565218,4,5,5,4.6521739130434785,3,5,5,4.434782608695652,3,5,4,4.260869565217392,30,Financial Services,Organization 1,2025-06,0.767,Introductory,Leadership,0
Enhancing Decision Making with Analytics,16,2,5,4,3.6875,3,5,4,4.1875,2,5,4,3.8125,2,5,3,3.375,20,Financial Services,Organization 1,2025-07,0.8,Introductory,Leadership,0
